,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
28279,2008,Beijing,Football,Football,Heather Mitts,USA,Women,Football,Gold,United States,
28280,2008,Beijing,Football,Football,Heather O Reilly,USA,Women,Football,Gold,United States,
28281,2008,Beijing,Football,Football,Christie Rampone,USA,Women,Football,Gold,United States,
28282,2008,Beijing,Football,Football,Amy Rodriguez,USA,Women,Football,Gold,United States,
28283,2008,Beijing,Football,Football,Hope Solo,USA,Women,Football,Gold,United States,
28284,2008,Beijing,Football,Football,Lindsay Tarpley,USA,Women,Football,Gold,United States,
28285,2008,Beijing,Football,Football,Aly Wagner,USA,Women,Football,Gold,United States,
28286,2008,Beijing,Football,Football,Andreia,BRA,Women,Football,Silver,Brazil,
28287,2008,Beijing,Football,Football,Andreia Rosa,BRA,Women,Football,Silver,Brazil,
28288,2008,Beijing,Football,Football,Barbara,BRA,Women,Football,Silver,Brazil,
28289,2008,Beijing,Football,Football,Cristiane,BRA,Women,Football,Silver,Brazil,
28290,2008,Beijing,Football,Football,Daniela,BRA,Women,Football,Silver,Brazil,
28291,2008,Beijing,Football,Football,Erika,BRA,Women,Football,Silver,Brazil,
28292,2008,Beijing,Football,Football,Ester,BRA,Women,Football,Silver,Brazil,
28293,2008,Beijing,Football,Football,Fabiana,BRA,Women,Football,Silver,Brazil,
28294,2008,Beijing,Football,Football,Formiga,BRA,Women,Football,Silver,Brazil,
28295,2008,Beijing,Football,Football,Francielle,BRA,Women,Football,Silver,Brazil,
28296,2008,Beijing,Football,Football,Marta,BRA,Women,Football,Silver,Brazil,
28297,2008,Beijing,Football,Football,Maurine,BRA,Women,Football,Silver,Brazil,
28298,2008,Beijing,Football,Football,Maycon,BRA,Women,Football,Silver,Brazil,
28299,2008,Beijing,Football,Football,Pretinha,BRA,Women,Football,Silver,Brazil,
28300,2008,Beijing,Football,Football,Renata Costa,BRA,Women,Football,Silver,Brazil,
28301,2008,Beijing,Football,Football,Rosana,BRA,Women,Football,Silver,Brazil,
28302,2008,Beijing,Football,Football,Simone,BRA,Women,Football,Silver,Brazil,
28303,2008,Beijing,Football,Football,Tania,BRA,Women,Football,Silver,Brazil,
28304,2008,Beijing,Gymnastics,Artistic G.,Fei Cheng,CHN,Women,Balance Beam,Bronze,China,
28305,2008,Beijing,Gymnastics,Artistic G.,Shawn Johnson,USA,Women,Balance Beam,Gold,United States,
28306,2008,Beijing,Gymnastics,Artistic G.,Nastia Liukin,USA,Women,Balance Beam,Silver,United States,
28307,2008,Beijing,Gymnastics,Artistic G.,Anton Golotsutskov,RUS,Men,Floor Exercises,Bronze,Russia,
28308,2008,Beijing,Gymnastics,Artistic G.,Kai Zou,CHN,Men,Floor Exercises,Gold,China,
28309,2008,Beijing,Gymnastics,Artistic G.,Gervasio Deferr,ESP,Men,Floor Exercises,Silver,Spain,
28310,2008,Beijing,Gymnastics,Artistic G.,Nastia Liukin,USA,Women,Floor Exercises,Bronze,United States,
28311,2008,Beijing,Gymnastics,Artistic G.,Sandra Izbasa,ROM,Women,Floor Exercises,Gold,Romania,
28312,2008,Beijing,Gymnastics,Artistic G.,Shawn Johnson,USA,Women,Floor Exercises,Silver,United States,
28313,2008,Beijing,Gymnastics,Artistic G.,Fabian Hambuechen,GER,Men,Horizontal Bar,Bronze,Germany,
28314,2008,Beijing,Gymnastics,Artistic G.,Kai Zou,CHN,Men,Horizontal Bar,Gold,China,
28315,2008,Beijing,Gymnastics,Artistic G.,Jonathan Horton,USA,Men,Horizontal Bar,Silver,United States,
28316,2008,Beijing,Gymnastics,Artistic G.,Benoit Caranobe,FRA,Men,Individual All-Round,Bronze,France,
28317,2008,Beijing,Gymnastics,Artistic G.,Wei Yang,CHN,Men,Individual All-Round,Gold,China,
28318,2008,Beijing,Gymnastics,Artistic G.,Kohei Uchimura,JPN,Men,Individual All-Round,Silver,Japan,
28319,2008,Beijing,Gymnastics,Artistic G.,Yilin Yang,CHN,Women,Individual All-Round,Bronze,China,
28320,2008,Beijing,Gymnastics,Artistic G.,Nastia Liukin,USA,Women,Individual All-Round,Gold,United States,
28321,2008,Beijing,Gymnastics,Artistic G.,Shawn Johnson,USA,Women,Individual All-Round,Silver,United States,
28322,2008,Beijing,Gymnastics,Artistic G.,Anton Fokin,UZB,Men,Parallel Bars,Bronze,Uzbekistan,
28323,2008,Beijing,Gymnastics,Artistic G.,Xiaopeng Li,CHN,Men,Parallel Bars,Gold,China,
28324,2008,Beijing,Gymnastics,Artistic G.,Wonchul Yoo,KOR,Men,Parallel Bars,Silver,"Korea, South",
28325,2008,Beijing,Gymnastics,Artistic G.,Louis Smith,GBR,Men,Pommel Horse,Bronze,United Kingdom,
28326,2008,Beijing,Gymnastics,Artistic G.,Qin Xiao,CHN,Men,Pommel Horse,Gold,China,
28327,2008,Beijing,Gymnastics,Artistic G.,Filip Ude,CRO,Men,Pommel Horse,Silver,Croatia,
28328,2008,Beijing,Gymnastics,Artistic G.,Oleksandr Vorobiov,UKR,Men,Rings,Bronze,Ukraine,
28329,2008,Beijing,Gymnastics,Artistic G.,Yibing Chen,CHN,Men,Rings,Gold,China,
28330,2008,Beijing,Gymnastics,Artistic G.,Wei Yang,CHN,Men,Rings,Silver,China,
28331,2008,Beijing,Gymnastics,Artistic G.,Alexander Artemev,USA,Men,Team Competition,Bronze,United States,
28332,2008,Beijing,Gymnastics,Artistic G.,Raj Bhavsar,USA,Men,Team Competition,Bronze,United States,
28333,2008,Beijing,Gymnastics,Artistic G.,Joey Hagerty,USA,Men,Team Competition,Bronze,United States,
28334,2008,Beijing,Gymnastics,Artistic G.,Jonathan Horton,USA,Men,Team Competition,Bronze,United States,
28335,2008,Beijing,Gymnastics,Artistic G.,Justin Spring,USA,Men,Team Competition,Bronze,United States,
28336,2008,Beijing,Gymnastics,Artistic G.,Kai Wen Tan,USA,Men,Team Competition,Bronze,United States,
28337,2008,Beijing,Gymnastics,Artistic G.,Yibing Chen,CHN,Men,Team Competition,Gold,China,
28338,2008,Beijing,Gymnastics,Artistic G.,Xu Huang,CHN,Men,Team Competition,Gold,China,
28339,2008,Beijing,Gymnastics,Artistic G.,Xiaopeng Li,CHN,Men,Team Competition,Gold,China,
28340,2008,Beijing,Gymnastics,Artistic G.,Qin Xiao,CHN,Men,Team Competition,Gold,China,
28341,2008,Beijing,Gymnastics,Artistic G.,Wei Yang,CHN,Men,Team Competition,Gold,China,
28342,2008,Beijing,Gymnastics,Artistic G.,Kai Zou,CHN,Men,Team Competition,Gold,China,
28343,2008,Beijing,Gymnastics,Artistic G.,Takehiro Kashima,JPN,Men,Team Competition,Silver,Japan,
28344,2008,Beijing,Gymnastics,Artistic G.,Takuya Nakase,JPN,Men,Team Competition,Silver,Japan,
28345,2008,Beijing,Gymnastics,Artistic G.,Makoto Okiguchi,JPN,Men,Team Competition,Silver,Japan,
28346,2008,Beijing,Gymnastics,Artistic G.,Koki Sakamoto,JPN,Men,Team Competition,Silver,Japan,
28347,2008,Beijing,Gymnastics,Artistic G.,Hiroyuki Tomita,JPN,Men,Team Competition,Silver,Japan,
28348,2008,Beijing,Gymnastics,Artistic G.,Kohei Uchimura,JPN,Men,Team Competition,Silver,Japan,
28349,2008,Beijing,Gymnastics,Artistic G.,Andreea Acatrinei,ROM,Women,Team Competition,Bronze,Romania,
28350,2008,Beijing,Gymnastics,Artistic G.,Gabriela Dragoi,ROM,Women,Team Competition,Bronze,Romania,
28351,2008,Beijing,Gymnastics,Artistic G.,Andreea Grigore,ROM,Women,Team Competition,Bronze,Romania,
28352,2008,Beijing,Gymnastics,Artistic G.,Sandra Izbasa,ROM,Women,Team Competition,Bronze,Romania,
28353,2008,Beijing,Gymnastics,Artistic G.,Steliana Nistor,ROM,Women,Team Competition,Bronze,Romania,
28354,2008,Beijing,Gymnastics,Artistic G.,Anamaria Tamirjan,ROM,Women,Team Competition,Bronze,Romania,
28355,2008,Beijing,Gymnastics,Artistic G.,Fei Cheng,CHN,Women,Team Competition,Gold,China,
28356,2008,Beijing,Gymnastics,Artistic G.,Linlin Deng,CHN,Women,Team Competition,Gold,China,
28357,2008,Beijing,Gymnastics,Artistic G.,Kexin He,CHN,Women,Team Competition,Gold,China,
28358,2008,Beijing,Gymnastics,Artistic G.,Yuyuan Jiang,CHN,Women,Team Competition,Gold,China,
28359,2008,Beijing,Gymnastics,Artistic G.,Shanshan Li,CHN,Women,Team Competition,Gold,China,
28360,2008,Beijing,Gymnastics,Artistic G.,Yilin Yang,CHN,Women,Team Competition,Gold,China,
28361,2008,Beijing,Gymnastics,Artistic G.,Shawn Johnson,USA,Women,Team Competition,Silver,United States,
28362,2008,Beijing,Gymnastics,Artistic G.,Nastia Liukin,USA,Women,Team Competition,Silver,United States,
28363,2008,Beijing,Gymnastics,Artistic G.,Chellsie Memmel,USA,Women,Team Competition,Silver,United States,
28364,2008,Beijing,Gymnastics,Artistic G.,Samantha Peszek,USA,Women,Team Competition,Silver,United States,
28365,2008,Beijing,Gymnastics,Artistic G.,Alicia Sacramone,USA,Women,Team Competition,Silver,United States,
28366,2008,Beijing,Gymnastics,Artistic G.,Bridget Sloan,USA,Women,Team Competition,Silver,United States,
28367,2008,Beijing,Gymnastics,Artistic G.,Yilin Yang,CHN,Women,Uneven Bars,Bronze,China,
28368,2008,Beijing,Gymnastics,Artistic G.,Kexin He,CHN,Women,Uneven Bars,Gold,China,
28369,2008,Beijing,Gymnastics,Artistic G.,Nastia Liukin,USA,Women,Uneven Bars,Silver,United States,
28370,2008,Beijing,Gymnastics,Artistic G.,Anton Golotsutskov,RUS,Men,Vault,Bronze,Russia,
28371,2008,Beijing,Gymnastics,Artistic G.,Leszek Blanik,POL,Men,Vault,Gold,Poland,
28372,2008,Beijing,Gymnastics,Artistic G.,Thomas Bouhail,FRA,Men,Vault,Silver,France,
28373,2008,Beijing,Gymnastics,Artistic G.,Fei Cheng,CHN,Women,Vault,Bronze,China,
28374,2008,Beijing,Gymnastics,Artistic G.,Un Jong Hong,PRK,Women,Vault,Gold,"Korea, North",
28375,2008,Beijing,Gymnastics,Artistic G.,Oxana. Chusovitina,GER,Women,Vault,Silver,Germany,
28376,2008,Beijing,Gymnastics,Rhythmic G.,Olesya Babushkina,BLR,Women,Group Competition,Bronze,Belarus,
28377,2008,Beijing,Gymnastics,Rhythmic G.,Anastasia Ivankova,BLR,Women,Group Competition,Bronze,Belarus,
28378,2008,Beijing,Gymnastics,Rhythmic G.,Zinaida Lunina,BLR,Women,Group Competition,Bronze,Belarus,
28379,2008,Beijing,Gymnastics,Rhythmic G.,Glafira Martinovich,BLR,Women,Group Competition,Bronze,Belarus,
28380,2008,Beijing,Gymnastics,Rhythmic G.,Ksenia Sankovich,BLR,Women,Group Competition,Bronze,Belarus,
28381,2008,Beijing,Gymnastics,Rhythmic G.,Alina Tumilovich,BLR,Women,Group Competition,Bronze,Belarus,
28382,2008,Beijing,Gymnastics,Rhythmic G.,Margarita Aliychuk,RUS,Women,Group Competition,Gold,Russia,
28383,2008,Beijing,Gymnastics,Rhythmic G.,Anna Gavrilenko,RUS,Women,Group Competition,Gold,Russia,
28384,2008,Beijing,Gymnastics,Rhythmic G.,Tatiana Gorbunova,RUS,Women,Group Competition,Gold,Russia,
28385,2008,Beijing,Gymnastics,Rhythmic G.,Elena Posevina,RUS,Women,Group Competition,Gold,Russia,
28386,2008,Beijing,Gymnastics,Rhythmic G.,Daria Shkurikhina,RUS,Women,Group Competition,Gold,Russia,
28387,2008,Beijing,Gymnastics,Rhythmic G.,Natalia Zueva,RUS,Women,Group Competition,Gold,Russia,
28388,2008,Beijing,Gymnastics,Rhythmic G.,Tongtong Cai,CHN,Women,Group Competition,Silver,China,
28389,2008,Beijing,Gymnastics,Rhythmic G.,Tao Chou,CHN,Women,Group Competition,Silver,China,
28390,2008,Beijing,Gymnastics,Rhythmic G.,Yuanyang Lu,CHN,Women,Group Competition,Silver,China,
28391,2008,Beijing,Gymnastics,Rhythmic G.,Jianshuang Sui,CHN,Women,Group Competition,Silver,China,
28392,2008,Beijing,Gymnastics,Rhythmic G.,Dan Sun,CHN,Women,Group Competition,Silver,China,
28393,2008,Beijing,Gymnastics,Rhythmic G.,Shuo Zhang,CHN,Women,Group Competition,Silver,China,
28394,2008,Beijing,Gymnastics,Rhythmic G.,Anna Bessonova,UKR,Women,Individual All-Round,Bronze,Ukraine,
28395,2008,Beijing,Gymnastics,Rhythmic G.,Evgeniya Kanaeva,RUS,Women,Individual All-Round,Gold,Russia,
28396,2008,Beijing,Gymnastics,Rhythmic G.,Inna Zhukova,BLR,Women,Individual All-Round,Silver,Belarus,
28397,2008,Beijing,Gymnastics,Trampoline,Dong Dong,CHN,Men,Individual,Bronze,China,
28398,2008,Beijing,Gymnastics,Trampoline,Chunlong Lu,CHN,Men,Individual,Gold,China,
28399,2008,Beijing,Gymnastics,Trampoline,Jason Burnett,CAN,Men,Individual,Silver,Canada,
28400,2008,Beijing,Gymnastics,Trampoline,Ekaterina Khilko,UZB,Women,Individual,Bronze,Uzbekistan,
28401,2008,Beijing,Gymnastics,Trampoline,Wenna He,CHN,Women,Individual,Gold,China,
28402,2008,Beijing,Gymnastics,Trampoline,Karen Cockburn,CAN,Women,Individual,Silver,Canada,
28403,2008,Beijing,Handball,Handball,David Barrufet,ESP,Men,Handball,Bronze,Spain,
28404,2008,Beijing,Handball,Handball,Jon Belaustegui,ESP,Men,Handball,Bronze,Spain,
28405,2008,Beijing,Handball,Handball,David Davis,ESP,Men,Handball,Bronze,Spain,
28406,2008,Beijing,Handball,Handball,Alberto Entrerrios,ESP,Men,Handball,Bronze,Spain,
28407,2008,Beijing,Handball,Handball,Raul Entrerrios,ESP,Men,Handball,Bronze,Spain,
28408,2008,Beijing,Handball,Handball,Ruben Garabaya,ESP,Men,Handball,Bronze,Spain,
28409,2008,Beijing,Handball,Handball,Juan Garcia,ESP,Men,Handball,Bronze,Spain,
28410,2008,Beijing,Handball,Handball,Jose Javier Hombrados,ESP,Men,Handball,Bronze,Spain,
28411,2008,Beijing,Handball,Handball,Demetrio Lozano,ESP,Men,Handball,Bronze,Spain,
28412,2008,Beijing,Handball,Handball,Cristian Malmagro,ESP,Men,Handball,Bronze,Spain,
28413,2008,Beijing,Handball,Handball,Carlos Prieto,ESP,Men,Handball,Bronze,Spain,
28414,2008,Beijing,Handball,Handball,Albert Rocas,ESP,Men,Handball,Bronze,Spain,
28415,2008,Beijing,Handball,Handball,Iker Romero,ESP,Men,Handball,Bronze,Spain,
28416,2008,Beijing,Handball,Handball,Victor Tomas,ESP,Men,Handball,Bronze,Spain,
28417,2008,Beijing,Handball,Handball,Luc Abalo,FRA,Men,Handball,Gold,France,
28418,2008,Beijing,Handball,Handball,Joel Abati,FRA,Men,Handball,Gold,France,
28419,2008,Beijing,Handball,Handball,Cedric Burdet,FRA,Men,Handball,Gold,France,
28420,2008,Beijing,Handball,Handball,Didier Dinart,FRA,Men,Handball,Gold,France,
28421,2008,Beijing,Handball,Handball,Jerome Fernandez,FRA,Men,Handball,Gold,France,
28422,2008,Beijing,Handball,Handball,Bertrand Gille,FRA,Men,Handball,Gold,France,
28423,2008,Beijing,Handball,Handball,Guillaume Gille,FRA,Men,Handball,Gold,France,
28424,2008,Beijing,Handball,Handball,Olivier Girault,FRA,Men,Handball,Gold,France,
28425,2008,Beijing,Handball,Handball,Michael Guigou,FRA,Men,Handball,Gold,France,
28426,2008,Beijing,Handball,Handball,Nikola Karabatic,FRA,Men,Handball,Gold,France,
28427,2008,Beijing,Handball,Handball,Daouda Karaboue,FRA,Men,Handball,Gold,France,
28428,2008,Beijing,Handball,Handball,Christophe Kempe,FRA,Men,Handball,Gold,France,
28429,2008,Beijing,Handball,Handball,Daniel Narcisse,FRA,Men,Handball,Gold,France,
28430,2008,Beijing,Handball,Handball,Thierry Omeyer,FRA,Men,Handball,Gold,France,
28431,2008,Beijing,Handball,Handball,Cedric Paty,FRA,Men,Handball,Gold,France,
28432,2008,Beijing,Handball,Handball,Sturla Asgeirsson,ISL,Men,Handball,Silver,Iceland,
28433,2008,Beijing,Handball,Handball,Arnor Atlason,ISL,Men,Handball,Silver,Iceland,
28434,2008,Beijing,Handball,Handball,Logi Geirsson,ISL,Men,Handball,Silver,Iceland,
28435,2008,Beijing,Handball,Handball,Snorri Steinn Gudjonsson,ISL,Men,Handball,Silver,Iceland,
28436,2008,Beijing,Handball,Handball,Hreidar Levy Gudmundsson,ISL,Men,Handball,Silver,Iceland,
28437,2008,Beijing,Handball,Handball,Robert Gunnarsson,ISL,Men,Handball,Silver,Iceland,
28438,2008,Beijing,Handball,Handball,Bjorgvin Pall Gustavsson,ISL,Men,Handball,Silver,Iceland,
28439,2008,Beijing,Handball,Handball,Asgeir Orn Hallgrimsson,ISL,Men,Handball,Silver,Iceland,
28440,2008,Beijing,Handball,Handball,Ingimundur Ingimundarson,ISL,Men,Handball,Silver,Iceland,
28441,2008,Beijing,Handball,Handball,Sverre Andreas Jakobsson,ISL,Men,Handball,Silver,Iceland,
28442,2008,Beijing,Handball,Handball,Alexander Petersson,ISL,Men,Handball,Silver,Iceland,
28443,2008,Beijing,Handball,Handball,Gudjon Valur Sigurdsson,ISL,Men,Handball,Silver,Iceland,
28444,2008,Beijing,Handball,Handball,Sigfus Sigurdsson,ISL,Men,Handball,Silver,Iceland,
28445,2008,Beijing,Handball,Handball,Olafur Stefansson,ISL,Men,Handball,Silver,Iceland,
28446,2008,Beijing,Handball,Handball,Junghwa An,KOR,Women,Handball,Bronze,"Korea, South",
28447,2008,Beijing,Handball,Handball,Minhee Bae,KOR,Women,Handball,Bronze,"Korea, South",
28448,2008,Beijing,Handball,Handball,Imjeong Choi,KOR,Women,Handball,Bronze,"Korea, South",
28449,2008,Beijing,Handball,Handball,Jeong-Ho Hong,KOR,Women,Handball,Bronze,"Korea, South",
28450,2008,Beijing,Handball,Handball,Soonyoung Huh,KOR,Women,Handball,Bronze,"Korea, South",
28451,2008,Beijing,Handball,Handball,Chayoun Kim,KOR,Women,Handball,Bronze,"Korea, South",
28452,2008,Beijing,Handball,Handball,Namsun Kim,KOR,Women,Handball,Bronze,"Korea, South",
28453,2008,Beijing,Handball,Handball,Ona Kim,KOR,Women,Handball,Bronze,"Korea, South",
28454,2008,Beijing,Handball,Handball,Minhee Lee,KOR,Women,Handball,Bronze,"Korea, South",
28455,2008,Beijing,Handball,Handball,Pilhee Moon,KOR,Women,Handball,Bronze,"Korea, South",
28456,2008,Beijing,Handball,Handball,Seongok Oh,KOR,Women,Handball,Bronze,"Korea, South",
28457,2008,Beijing,Handball,Handball,Yong Ran Oh,KOR,Women,Handball,Bronze,"Korea, South",
28458,2008,Beijing,Handball,Handball,Chunghee Park,KOR,Women,Handball,Bronze,"Korea, South",
28459,2008,Beijing,Handball,Handball,Hairim Song,KOR,Women,Handball,Bronze,"Korea, South",
28460,2008,Beijing,Handball,Handball,Ragnhild Aamodt,NOR,Women,Handball,Gold,Norway,
28461,2008,Beijing,Handball,Handball,Karoline Dyhre Breivang,NOR,Women,Handball,Gold,Norway,
28462,2008,Beijing,Handball,Handball,Marit Malm Frafjord,NOR,Women,Handball,Gold,Norway,
28463,2008,Beijing,Handball,Handball,Kari Aalvik Grimsboe,NOR,Women,Handball,Gold,Norway,
28464,2008,Beijing,Handball,Handball,Gro Hammerseng,NOR,Women,Handball,Gold,Norway,
28465,2008,Beijing,Handball,Handball,Katrine Lunde Haraldsen,NOR,Women,Handball,Gold,Norway,
28466,2008,Beijing,Handball,Handball,Kari Mette Johansen,NOR,Women,Handball,Gold,Norway,
28467,2008,Beijing,Handball,Handball,Tonje Larsen,NOR,Women,Handball,Gold,Norway,
28468,2008,Beijing,Handball,Handball,Kristine Lunde,NOR,Women,Handball,Gold,Norway,
28469,2008,Beijing,Handball,Handball,Else Marthe Soerlie Lybekk,NOR,Women,Handball,Gold,Norway,
28470,2008,Beijing,Handball,Handball,Tonje Noestvold,NOR,Women,Handball,Gold,Norway,
28471,2008,Beijing,Handball,Handball,Katja Nyberg,NOR,Women,Handball,Gold,Norway,
28472,2008,Beijing,Handball,Handball,Linn-Kristin Riegelhuth,NOR,Women,Handball,Gold,Norway,
28473,2008,Beijing,Handball,Handball,Goeril Snorroeggen,NOR,Women,Handball,Gold,Norway,
28474,2008,Beijing,Handball,Handball,Ekaterina Andryushina,RUS,Women,Handball,Silver,Russia,
28475,2008,Beijing,Handball,Handball,Irina Bliznova,RUS,Women,Handball,Silver,Russia,
28476,2008,Beijing,Handball,Handball,Elena Dmitrieva,RUS,Women,Handball,Silver,Russia,
28477,2008,Beijing,Handball,Handball,Anna Kareeva,RUS,Women,Handball,Silver,Russia,
28478,2008,Beijing,Handball,Handball,Ekaterina Marennikova,RUS,Women,Handball,Silver,Russia,
28479,2008,Beijing,Handball,Handball,Elena Polenova,RUS,Women,Handball,Silver,Russia,
28480,2008,Beijing,Handball,Handball,Irina Poltoratskaya,RUS,Women,Handball,Silver,Russia,
28481,2008,Beijing,Handball,Handball,Liudmila Postnova,RUS,Women,Handball,Silver,Russia,
28482,2008,Beijing,Handball,Handball,Oxana Romenskaya,RUS,Women,Handball,Silver,Russia,
28483,2008,Beijing,Handball,Handball,Natalia Shipilova,RUS,Women,Handball,Silver,Russia,
28484,2008,Beijing,Handball,Handball,Maria Sidorova,RUS,Women,Handball,Silver,Russia,
28485,2008,Beijing,Handball,Handball,Inna Suslina,RUS,Women,Handball,Silver,Russia,
28486,2008,Beijing,Handball,Handball,Emiliya Turey,RUS,Women,Handball,Silver,Russia,
28487,2008,Beijing,Handball,Handball,Yana Uskova,RUS,Women,Handball,Silver,Russia,
28488,2008,Beijing,Hockey,Hockey,Des Abbott,AUS,Men,Hockey,Bronze,Australia,
28489,2008,Beijing,Hockey,Hockey,Travis Brooks,AUS,Men,Hockey,Bronze,Australia,
28490,2008,Beijing,Hockey,Hockey,Kiel Brown,AUS,Men,Hockey,Bronze,Australia,
28491,2008,Beijing,Hockey,Hockey,Liam De Young,AUS,Men,Hockey,Bronze,Australia,
28492,2008,Beijing,Hockey,Hockey,Luke Doerner,AUS,Men,Hockey,Bronze,Australia,
28493,2008,Beijing,Hockey,Hockey,Jamie Dwyer,AUS,Men,Hockey,Bronze,Australia,
28494,2008,Beijing,Hockey,Hockey,Bevan George,AUS,Men,Hockey,Bronze,Australia,
28495,2008,Beijing,Hockey,Hockey,David Guest,AUS,Men,Hockey,Bronze,Australia,
28496,2008,Beijing,Hockey,Hockey,Rob Hammond,AUS,Men,Hockey,Bronze,Australia,
28497,2008,Beijing,Hockey,Hockey,Fergus Kavanagh,AUS,Men,Hockey,Bronze,Australia,
28498,2008,Beijing,Hockey,Hockey,Mark Knowles,AUS,Men,Hockey,Bronze,Australia,
28499,2008,Beijing,Hockey,Hockey,Stephen Lambert,AUS,Men,Hockey,Bronze,Australia,
28500,2008,Beijing,Hockey,Hockey,Eli Matheson,AUS,Men,Hockey,Bronze,Australia,
28501,2008,Beijing,Hockey,Hockey,Eddie Ockenden,AUS,Men,Hockey,Bronze,Australia,
28502,2008,Beijing,Hockey,Hockey,Grant Schubert,AUS,Men,Hockey,Bronze,Australia,
28503,2008,Beijing,Hockey,Hockey,Andrew Smith,AUS,Men,Hockey,Bronze,Australia,
28504,2008,Beijing,Hockey,Hockey,Matthew Wells,AUS,Men,Hockey,Bronze,Australia,
28505,2008,Beijing,Hockey,Hockey,Sebastian Biederlack,GER,Men,Hockey,Gold,Germany,
28506,2008,Beijing,Hockey,Hockey,Moritz Fuerste,GER,Men,Hockey,Gold,Germany,
28507,2008,Beijing,Hockey,Hockey,Tobias Hauke,GER,Men,Hockey,Gold,Germany,
28508,2008,Beijing,Hockey,Hockey,Florian Keller,GER,Men,Hockey,Gold,Germany,
28509,2008,Beijing,Hockey,Hockey,Oliver Korn,GER,Men,Hockey,Gold,Germany,
28510,2008,Beijing,Hockey,Hockey,Niklas Meinert,GER,Men,Hockey,Gold,Germany,
28511,2008,Beijing,Hockey,Hockey,Jan-Marco Montag,GER,Men,Hockey,Gold,Germany,
28512,2008,Beijing,Hockey,Hockey,Maximilian Mueller,GER,Men,Hockey,Gold,Germany,
28513,2008,Beijing,Hockey,Hockey,Carlos Nevado,GER,Men,Hockey,Gold,Germany,
28514,2008,Beijing,Hockey,Hockey,Max Weinhold,GER,Men,Hockey,Gold,Germany,
28515,2008,Beijing,Hockey,Hockey,Tibor Weissenborn,GER,Men,Hockey,Gold,Germany,
28516,2008,Beijing,Hockey,Hockey,Benjamin Wess,GER,Men,Hockey,Gold,Germany,
28517,2008,Beijing,Hockey,Hockey,Timo Wess,GER,Men,Hockey,Gold,Germany,
28518,2008,Beijing,Hockey,Hockey,Philip Witte,GER,Men,Hockey,Gold,Germany,
28519,2008,Beijing,Hockey,Hockey,Matthias Witthaus,GER,Men,Hockey,Gold,Germany,
28520,2008,Beijing,Hockey,Hockey,Christopher Zeller,GER,Men,Hockey,Gold,Germany,
28521,2008,Beijing,Hockey,Hockey,Philipp Zeller,GER,Men,Hockey,Gold,Germany,
28522,2008,Beijing,Hockey,Hockey,David Alegre,ESP,Men,Hockey,Silver,Spain,
28523,2008,Beijing,Hockey,Hockey,Ramon Alegre,ESP,Men,Hockey,Silver,Spain,
28524,2008,Beijing,Hockey,Hockey,Pol Amat,ESP,Men,Hockey,Silver,Spain,
28525,2008,Beijing,Hockey,Hockey,Eduard Arbos,ESP,Men,Hockey,Silver,Spain,
28526,2008,Beijing,Hockey,Hockey,Francisco Cortes,ESP,Men,Hockey,Silver,Spain,
28527,2008,Beijing,Hockey,Hockey,Sergi Enrique,ESP,Men,Hockey,Silver,Spain,
28528,2008,Beijing,Hockey,Hockey,Alex Fabregas,ESP,Men,Hockey,Silver,Spain,
28529,2008,Beijing,Hockey,Hockey,Francisco Fabregas,ESP,Men,Hockey,Silver,Spain,
28530,2008,Beijing,Hockey,Hockey,Juan Fernandez,ESP,Men,Hockey,Silver,Spain,
28531,2008,Beijing,Hockey,Hockey,Santiago Freixa,ESP,Men,Hockey,Silver,Spain,
28532,2008,Beijing,Hockey,Hockey,Rodrigo Garza,ESP,Men,Hockey,Silver,Spain,
28533,2008,Beijing,Hockey,Hockey,Roc Oliva,ESP,Men,Hockey,Silver,Spain,
28534,2008,Beijing,Hockey,Hockey,Xavier Ribas,ESP,Men,Hockey,Silver,Spain,
28535,2008,Beijing,Hockey,Hockey,Albert Sala,ESP,Men,Hockey,Silver,Spain,
28536,2008,Beijing,Hockey,Hockey,Victor Sojo,ESP,Men,Hockey,Silver,Spain,
28537,2008,Beijing,Hockey,Hockey,Eduard Tubau,ESP,Men,Hockey,Silver,Spain,
28538,2008,Beijing,Hockey,Hockey,Magdalena Aicega,ARG,Women,Hockey,Bronze,Argentina,
28539,2008,Beijing,Hockey,Hockey,Luciana Aymar,ARG,Women,Hockey,Bronze,Argentina,
28540,2008,Beijing,Hockey,Hockey,Noel Barrionuevo,ARG,Women,Hockey,Bronze,Argentina,
28541,2008,Beijing,Hockey,Hockey,Claudia Burkart,ARG,Women,Hockey,Bronze,Argentina,
28542,2008,Beijing,Hockey,Hockey,Agustina Garcia,ARG,Women,Hockey,Bronze,Argentina,
28543,2008,Beijing,Hockey,Hockey,Mariana Gonzalez Oliva,ARG,Women,Hockey,Bronze,Argentina,
28544,2008,Beijing,Hockey,Hockey,Alejandra Gulla,ARG,Women,Hockey,Bronze,Argentina,
28545,2008,Beijing,Hockey,Hockey,Maria De La Paz Hernandez,ARG,Women,Hockey,Bronze,Argentina,
28546,2008,Beijing,Hockey,Hockey,Giselle Kanevsky,ARG,Women,Hockey,Bronze,Argentina,
28547,2008,Beijing,Hockey,Hockey,Rosario Luchetti,ARG,Women,Hockey,Bronze,Argentina,
