,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
29603,2012,London,Athletics,Athletics,Pending,,Women,1500M,Gold,,missing_required
31072,2012,London,Weightlifting,Weightlifting,Pending,,Women,63KG,Gold,,missing_required
31091,2012,London,Weightlifting,Weightlifting,Pending,,Men,94KG,Silver,,missing_required
31110,2012,London,Wrestling,Wrestling Freestyle,Besik Kudukhov,,Men,Wf 60 KG,Silver,,missing_required
