,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
32,1896,Athens,Athletics,Athletics,James Connolly,USA,Men,Long Jump,Bronze,United States
33,1896,Athens,Athletics,Athletics,Ellery Clark,USA,Men,Long Jump,Gold,United States
34,1896,Athens,Athletics,Athletics,Robert Garrett,USA,Men,Long Jump,Silver,United States
35,1896,Athens,Athletics,Athletics,Gyula Kellner,HUN,Men,Marathon,Bronze,Hungary
36,1896,Athens,Athletics,Athletics,Spyridon Louis,GRE,Men,Marathon,Gold,Greece
37,1896,Athens,Athletics,Athletics,Kharilaos Vasilakos,GRE,Men,Marathon,Silver,Greece
38,1896,Athens,Athletics,Athletics,Evangelos Damaskos,GRE,Men,Pole Vault,Bronze,Greece
39,1896,Athens,Athletics,Athletics,Ioannis Theodoropoulos,GRE,Men,Pole Vault,Bronze,Greece
40,1896,Athens,Athletics,Athletics,William Welles Hoyt,USA,Men,Pole Vault,Gold,United States
41,1896,Athens,Athletics,Athletics,Albert Tyler,USA,Men,Pole Vault,Silver,United States
42,1896,Athens,Athletics,Athletics,Georgios Papasideris,GRE,Men,Shot Put,Bronze,Greece
43,1896,Athens,Athletics,Athletics,Robert Garrett,USA,Men,Shot Put,Gold,United States
44,1896,Athens,Athletics,Athletics,Miltiadis Gouskos,GRE,Men,Shot Put,Silver,Greece
45,1896,Athens,Athletics,Athletics,Ioannis Persakis,GRE,Men,Triple Jump,Bronze,Greece
46,1896,Athens,Athletics,Athletics,James Connolly,USA,Men,Triple Jump,Gold,United States
47,1896,Athens,Athletics,Athletics,Alexandre Tufferi,FRA,Men,Triple Jump,Silver,France
48,1896,Athens,Cycling,Cycling Road,Edward Battel,GBR,Men,Individual Road Race,Bronze,United Kingdom
49,1896,Athens,Cycling,Cycling Road,Aristidis Konstantinidis,GRE,Men,Individual Road Race,Gold,Greece
50,1896,Athens,Cycling,Cycling Road,August Goedrich,GER,Men,Individual Road Race,Silver,Germany
51,1896,Athens,Cycling,Cycling Track,LÃ©on Flameng,FRA,Men,100KM,Gold,France
52,1896,Athens,Cycling,Cycling Track,Georgios Kolettis,GRE,Men,100KM,Silver,Greece
53,1896,Athens,Cycling,Cycling Track,Adolf Schmal,AUT,Men,10KM,Bronze,Austria
54,1896,Athens,Cycling,Cycling Track,Paul Masson,FRA,Men,10KM,Gold,France
55,1896,Athens,Cycling,Cycling Track,LÃ©on Flameng,FRA,Men,10KM,Silver,France
56,1896,Athens,Cycling,Cycling Track,Adolf Schmal,AUT,Men,12-Hour Race,Gold,Austria
57,1896,Athens,Cycling,Cycling Track,Frank Keeping,GBR,Men,12-Hour Race,Silver,United Kingdom
58,1896,Athens,Cycling,Cycling Track,Adolf Schmal,AUT,Men,1KM Time Trial,Bronze,Austria
59,1896,Athens,Cycling,Cycling Track,Paul Masson,FRA,Men,1KM Time Trial,Gold,France
60,1896,Athens,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,1KM Time Trial,Silver,Greece
61,1896,Athens,Cycling,Cycling Track,LÃ©on Flameng,FRA,Men,Sprint Indivual,Bronze,France
62,1896,Athens,Cycling,Cycling Track,Paul Masson,FRA,Men,Sprint Indivual,Gold,France
63,1896,Athens,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,Sprint Indivual,Silver,Greece
64,1896,Athens,Fencing,Fencing,Perikles Pierrakos-Mavromichalis,GRE,Men,Foil Individual,Bronze,Greece
65,1896,Athens,Fencing,Fencing,EugÃ¨ne-Henri Gravelotte,FRA,Men,Foil Individual,Gold,France
66,1896,Athens,Fencing,Fencing,Henri Callot,FRA,Men,Foil Individual,Silver,France
67,1896,Athens,Fencing,Fencing,Leonidas Pyrgos,GRE,Men,"Foil, Masters",Gold,Greece
68,1896,Athens,Fencing,Fencing,Maurice Perronnet,FRA,Men,"Foil, Masters",Silver,France
69,1896,Athens,Fencing,Fencing,Holger Nielsen,DEN,Men,Sabre Individual,Bronze,Denmark
70,1896,Athens,Fencing,Fencing,Ioannis Georgiadis,GRE,Men,Sabre Individual,Gold,Greece
71,1896,Athens,Fencing,Fencing,Telemachos Karakalos,GRE,Men,Sabre Individual,Silver,Greece
72,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,Horizontal Bar,Gold,Germany
73,1896,Athens,Gymnastics,Artistic G.,Alfred Flatow,GER,Men,Horizontal Bar,Silver,Germany
74,1896,Athens,Gymnastics,Artistic G.,Alfred Flatow,GER,Men,Parallel Bars,Gold,Germany
75,1896,Athens,Gymnastics,Artistic G.,Louis Zutter,SUI,Men,Parallel Bars,Silver,Switzerland
76,1896,Athens,Gymnastics,Artistic G.,Louis Zutter,SUI,Men,Pommel Horse,Gold,Switzerland
77,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,Pommel Horse,Silver,Germany
78,1896,Athens,Gymnastics,Artistic G.,Petros Persakis,GRE,Men,Rings,Bronze,Greece
79,1896,Athens,Gymnastics,Artistic G.,Ioannis Mitropoulos,GRE,Men,Rings,Gold,Greece
80,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,Rings,Silver,Germany
81,1896,Athens,Gymnastics,Artistic G.,Fritz Hofmann,GER,Men,Rope Climbing,Bronze,Germany
82,1896,Athens,Gymnastics,Artistic G.,Nicolaos Andriakopoulos,GRE,Men,Rope Climbing,Gold,Greece
83,1896,Athens,Gymnastics,Artistic G.,Thomasios Xenakis,GRE,Men,Rope Climbing,Silver,Greece
84,1896,Athens,Gymnastics,Artistic G.,Konrad BÃ¶cker,GER,Men,"Team, Horizontal Bar",Gold,Germany
85,1896,Athens,Gymnastics,Artistic G.,Alfred Flatow,GER,Men,"Team, Horizontal Bar",Gold,Germany
86,1896,Athens,Gymnastics,Artistic G.,Gustav Felix Flatow,GER,Men,"Team, Horizontal Bar",Gold,Germany
87,1896,Athens,Gymnastics,Artistic G.,Georg Hilmar,GER,Men,"Team, Horizontal Bar",Gold,Germany
88,1896,Athens,Gymnastics,Artistic G.,Fritz Hofmann,GER,Men,"Team, Horizontal Bar",Gold,Germany
89,1896,Athens,Gymnastics,Artistic G.,Fritz Manteuffel,GER,Men,"Team, Horizontal Bar",Gold,Germany
90,1896,Athens,Gymnastics,Artistic G.,Karl Neukirch,GER,Men,"Team, Horizontal Bar",Gold,Germany
91,1896,Athens,Gymnastics,Artistic G.,Richard RÃ¶stel,GER,Men,"Team, Horizontal Bar",Gold,Germany
92,1896,Athens,Gymnastics,Artistic G.,Gustav Schuft,GER,Men,"Team, Horizontal Bar",Gold,Germany
93,1896,Athens,Gymnastics,Artistic G.,Carl Schumann,GER,Men,"Team, Horizontal Bar",Gold,Germany
94,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,"Team, Horizontal Bar",Gold,Germany
95,1896,Athens,Gymnastics,Artistic G.,Ioannis Chrysaphis,GRE,Men,"Team, Parallel Bars",Bronze,Greece
96,1896,Athens,Gymnastics,Artistic G.,Phillippos Karvelas,GRE,Men,"Team, Parallel Bars",Bronze,Greece
97,1896,Athens,Gymnastics,Artistic G.,Dimitrios Loundras,GRE,Men,"Team, Parallel Bars",Bronze,Greece
98,1896,Athens,Gymnastics,Artistic G.,Ioannis Mitropoulos,GRE,Men,"Team, Parallel Bars",Bronze,Greece
99,1896,Athens,Gymnastics,Artistic G.,Konrad BÃ¶cker,GER,Men,"Team, Parallel Bars",Gold,Germany
100,1896,Athens,Gymnastics,Artistic G.,Alfred Flatow,GER,Men,"Team, Parallel Bars",Gold,Germany
101,1896,Athens,Gymnastics,Artistic G.,Gustav Felix Flatow,GER,Men,"Team, Parallel Bars",Gold,Germany
102,1896,Athens,Gymnastics,Artistic G.,Georg Hilmar,GER,Men,"Team, Parallel Bars",Gold,Germany
103,1896,Athens,Gymnastics,Artistic G.,Fritz Hofmann,GER,Men,"Team, Parallel Bars",Gold,Germany
104,1896,Athens,Gymnastics,Artistic G.,Fritz Manteuffel,GER,Men,"Team, Parallel Bars",Gold,Germany
105,1896,Athens,Gymnastics,Artistic G.,Karl Neukirch,GER,Men,"Team, Parallel Bars",Gold,Germany
106,1896,Athens,Gymnastics,Artistic G.,Richard RÃ¶stel,GER,Men,"Team, Parallel Bars",Gold,Germany
107,1896,Athens,Gymnastics,Artistic G.,Gustav Schuft,GER,Men,"Team, Parallel Bars",Gold,Germany
108,1896,Athens,Gymnastics,Artistic G.,Carl Schumann,GER,Men,"Team, Parallel Bars",Gold,Germany
109,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,"Team, Parallel Bars",Gold,Germany
110,1896,Athens,Gymnastics,Artistic G.,Nicolaos Andriakopoulos,GRE,Men,"Team, Parallel Bars",Silver,Greece
111,1896,Athens,Gymnastics,Artistic G.,Spyros Athanasopoulos,GRE,Men,"Team, Parallel Bars",Silver,Greece
112,1896,Athens,Gymnastics,Artistic G.,Petros Persakis,GRE,Men,"Team, Parallel Bars",Silver,Greece
113,1896,Athens,Gymnastics,Artistic G.,Thomasios Xenakis,GRE,Men,"Team, Parallel Bars",Silver,Greece
114,1896,Athens,Gymnastics,Artistic G.,Hermann WeingÃ¤rtner,GER,Men,Vault,Bronze,Germany
115,1896,Athens,Gymnastics,Artistic G.,Carl Schumann,GER,Men,Vault,Gold,Germany
116,1896,Athens,Gymnastics,Artistic G.,Louis Zutter,SUI,Men,Vault,Silver,Switzerland
117,1896,Athens,Shooting,Shooting,Nikolaos Morakis,GRE,Men,25M Army Pistol,Bronze,Greece
118,1896,Athens,Shooting,Shooting,John Paine,USA,Men,25M Army Pistol,Gold,United States
